IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
91.107.251.232,443,true,FRA,Europe,Frankfurt,177 ms,11207 kB/s
91.107.161.112,2096,true,FRA,Europe,Frankfurt,185 ms,11067 kB/s
49.13.68.68,443,true,FRA,Europe,Frankfurt,198 ms,10334 kB/s
49.13.67.179,443,true,FRA,Europe,Frankfurt,222 ms,10280 kB/s
135.181.198.101,8443,true,HEL,Europe,Helsinki,217 ms,10194 kB/s
162.19.247.5,8443,true,FRA,Europe,Frankfurt,178 ms,9939 kB/s
91.107.175.217,443,true,FRA,Europe,Frankfurt,189 ms,9872 kB/s
5.75.233.144,443,true,FRA,Europe,Frankfurt,169 ms,9604 kB/s
172.236.204.109,2053,true,FRA,Europe,Frankfurt,197 ms,9587 kB/s
91.107.249.101,8443,true,FRA,Europe,Frankfurt,187 ms,9560 kB/s
88.99.60.34,2053,true,FRA,Europe,Frankfurt,178 ms,9506 kB/s
91.107.138.247,443,true,FRA,Europe,Frankfurt,218 ms,9494 kB/s
91.107.189.71,8443,true,FRA,Europe,Frankfurt,163 ms,9323 kB/s
51.91.253.60,8443,true,CDG,Europe,Paris,193 ms,9232 kB/s
46.8.224.150,2053,true,CDG,Europe,Paris,249 ms,9212 kB/s
8.210.29.68,443,true,HKG,Asia Pacific,Hong Kong,56 ms,9179 kB/s
54.36.98.4,8443,true,CDG,Europe,Paris,179 ms,9164 kB/s
91.99.56.181,443,true,FRA,Europe,Frankfurt,178 ms,9142 kB/s
91.107.129.155,443,true,FRA,Europe,Frankfurt,187 ms,9048 kB/s
195.201.251.241,2083,true,FRA,Europe,Frankfurt,178 ms,8999 kB/s
45.38.145.115,443,true,FRA,Europe,Frankfurt,156 ms,8984 kB/s
91.107.191.25,443,true,FRA,Europe,Frankfurt,187 ms,8895 kB/s
138.199.193.196,2083,true,FRA,Europe,Frankfurt,164 ms,8782 kB/s
95.217.7.120,2053,true,HEL,Europe,Helsinki,212 ms,8770 kB/s
162.19.116.66,443,true,CDG,Europe,Paris,212 ms,8701 kB/s
91.107.177.35,443,true,FRA,Europe,Frankfurt,186 ms,8668 kB/s
91.99.216.176,2096,true,FRA,Europe,Frankfurt,196 ms,8656 kB/s
91.107.131.251,8443,true,FRA,Europe,Frankfurt,188 ms,8651 kB/s
95.216.140.177,443,true,FRA,Europe,Frankfurt,224 ms,8614 kB/s
95.182.97.125,8443,true,CDG,Europe,Paris,193 ms,8561 kB/s
91.107.175.37,2053,true,FRA,Europe,Frankfurt,182 ms,8526 kB/s
45.149.63.46,2053,true,WAW,Europe,Warsaw,202 ms,8523 kB/s
91.107.130.98,443,true,FRA,Europe,Frankfurt,181 ms,8511 kB/s
65.109.185.85,2087,true,HEL,Europe,Helsinki,212 ms,8462 kB/s
51.91.255.163,443,true,CDG,Europe,Paris,366 ms,8454 kB/s
51.91.249.37,443,true,CDG,Europe,Paris,192 ms,8434 kB/s
45.95.80.242,2053,true,FRA,Europe,Frankfurt,192 ms,8431 kB/s
51.195.119.195,2053,true,FRA,Europe,Frankfurt,215 ms,8426 kB/s
5.75.194.120,2096,true,FRA,Europe,Frankfurt,161 ms,8418 kB/s
91.99.71.148,443,true,FRA,Europe,Frankfurt,187 ms,8400 kB/s
91.107.154.100,2096,true,FRA,Europe,Frankfurt,188 ms,8395 kB/s
46.4.60.21,443,true,FRA,Europe,Frankfurt,216 ms,8275 kB/s
91.107.158.77,8443,true,FRA,Europe,Frankfurt,206 ms,8181 kB/s
91.199.32.178,2053,true,LHR,Europe,London,195 ms,8178 kB/s
91.107.152.105,2053,true,FRA,Europe,Frankfurt,165 ms,8107 kB/s
65.109.209.55,2053,true,HEL,Europe,Helsinki,190 ms,8088 kB/s
37.27.19.225,443,true,HEL,Europe,Helsinki,204 ms,8048 kB/s
212.192.215.163,443,true,AMS,Europe,Amsterdam,301 ms,8044 kB/s
