IP地址,端口,TLS,数据中心,源IP位置,地区,城市,地区(中文),国家,城市(中文),国旗,网络延迟,下载速度
121.178.121.161,50000,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,89 ms,6562 kB/s
58.76.69.164,50000,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,102 ms,6137 kB/s
14.55.141.160,10230,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,92 ms,6128 kB/s
220.125.55.47,16012,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,108 ms,6061 kB/s
220.125.55.47,12251,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,97 ms,5856 kB/s
220.124.39.201,11300,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,105 ms,5371 kB/s
112.172.38.246,10554,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,86 ms,5144 kB/s
222.113.18.207,10319,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,204 ms,5039 kB/s
183.106.76.116,10212,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,123 ms,5038 kB/s
183.106.76.116,12187,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,119 ms,4827 kB/s
218.156.233.76,50000,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,78 ms,4494 kB/s
59.1.166.218,27010,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,100 ms,4345 kB/s
222.113.18.207,12289,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,190 ms,4226 kB/s
211.33.238.198,12357,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,142 ms,4211 kB/s
121.152.118.98,10337,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,86 ms,4015 kB/s
211.57.29.229,12257,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,98 ms,3712 kB/s
112.165.215.157,50000,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,109 ms,3513 kB/s
220.124.39.201,10374,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,93 ms,3458 kB/s
115.91.165.115,50000,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,100 ms,3391 kB/s
118.39.44.24,50000,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,93 ms,3390 kB/s
218.147.4.56,30019,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,105 ms,3362 kB/s
121.142.128.120,50000,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,100 ms,3348 kB/s
218.151.91.131,12151,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,83 ms,3332 kB/s
218.209.5.180,50000,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,88 ms,3259 kB/s
